Name,NetWorth,Country,Source,Rank,Age,Residence,Citizenship,Status,Children,Education,Self_made,continent,country_code,Continent_AF,Continent_AS,Continent_EU,Continent_NA,Continent_OC,Continent_SA,Country_US,Country_CN
Dirk Stroeer,1.3,Germany,advertising,2263,52.0,"Cologne, Germany",Germany,,,,False,EU,DE,0,0,1,0,0,0,0,0
Satoshi Suzuki,1.3,Japan,cosmetics,2263,67.0,"Tokyo, Japan",Japan,Married,,,False,AS,JP,0,1,0,0,0,0,0,0
Tang Zhuang,1.3,United States,electronics,2263,48.0,"Wuxi, China",United States,,,"Bachelor of Arts/Science, Peking University; Doctorate, Univeristy of Illinois at Urbana-Champaign",True,NAm,US,0,0,0,1,0,0,1,0
Joop van den Ende,1.3,Netherlands,TV shows,2263,79.0,"Baarn, Netherlands",Netherlands,Married,2.0,,True,EU,NL,0,0,1,0,0,0,0,0
Masaru Wasami,1.3,Japan,logistics,2263,75.0,Japan,Japan,,,,True,AS,JP,0,1,0,0,0,0,0,0
Wei Shaojun,1.3,China,real estate,2263,58.0,"Baoding, China",China,,,,True,AS,CN,0,1,0,0,0,0,0,1
Farris Wilks,1.3,United States,natural gas,2263,69.0,"Cisco, Texas",United States,Married,11.0,"Diploma, High School",True,NAm,US,0,0,0,1,0,0,1,0
Whitney Wolfe Herd,1.3,United States,dating app,2263,31.0,"Austin, Texas",United States,Married,1.0,"Bachelor of Arts/Science, Southern Methodist University",True,NAm,US,0,0,0,1,0,0,1,0
Wu Yonghua,1.3,China,apparel,2263,50.0,"Xiamen, China",China,,,,True,AS,CN,0,1,0,0,0,0,0,1
Xia Shudong,1.3,China,IT service,2263,48.0,"Beijing, China",China,,,"Doctorate, Beijing University",True,AS,CN,0,1,0,0,0,0,0,1
Xiong Jun & family,1.3,China,pharmaceuticals,2263,47.0,"Shanghai, China",China,,,,True,AS,CN,0,1,0,0,0,0,0,1
Xu Guangfu & family,1.3,China,Daqo Group,2263,78.0,"Chongqing, China",China,,,,True,AS,CN,0,1,0,0,0,0,0,1
Yang Keng,1.3,China,real estate,2263,60.0,"Chengdu, China",China,Married,,"Bachelor of Arts/Science, Sichuan University",True,AS,CN,0,1,0,0,0,0,0,1
Luis Enrique Yarur Rey,1.3,Chile,banking,2263,70.0,"Santiago, Chile",Chile,Married,8.0,"Master of Business Administration, IESE Business School",False,SA,CL,0,0,0,0,0,1,0,0
Ye Qiongjiu,1.3,China,software,2263,66.0,"Hangzhou, China",China,,,,True,AS,CN,0,1,0,0,0,0,0,1
Yeh Kuo-I,1.3,Taiwan,manufacturing,2263,80.0,,Taiwan,Married,2.0,,True,AS,TW,0,1,0,0,0,0,0,0
Yu Bangping & family,1.3,China,coal mining,2263,53.0,"Liupanshui, China",China,Married,,,True,AS,CN,0,1,0,0,0,0,0,1
Yu Jinkun & family,1.3,China,transportation equipment,2263,78.0,"Changzhou, China",China,,,,True,AS,CN,0,1,0,0,0,0,0,1
Patrick Zalupski,1.3,United States,homebuilding,2263,40.0,"Jacksonville, Florida",United States,Married,2.0,"Bachelor of Science, Stetson University",True,NAm,US,0,0,0,1,0,0,1,0
Zhang Gongyun,1.3,China,tyre manufacturing machinery,2263,58.0,"Gaomi, China",China,,,,True,AS,CN,0,1,0,0,0,0,0,1
Zhou Chengjian,1.3,China,fashion retail,2263,56.0,"Shanghai, China",China,Married,1.0,"EMBA, Zhejiang University",True,AS,CN,0,1,0,0,0,0,0,1
Zhou Xiayun & family,1.3,China,Education,2263,66.0,"Ningguo, China",China,,,,True,AS,CN,0,1,0,0,0,0,0,1
Zhu Tao,1.3,China,pharmaceutical,2263,48.0,"Tianjin, China",China,,,"Doctorate in Pedagogical Sciences, Carnegie Mellon University; Doctorate, The University of Pittsburgh; Master of Science, Tsinghua University",True,AS,CN,0,1,0,0,0,0,0,1
Aras Agalarov,1.2,Russia,real estate,2378,65.0,"Moscow, Russia",Russia,Married,2.0,"Bachelor of Arts/Science, Baku Polytechnical Instit",True,EU,RU,0,0,1,0,0,0,0,0
